user_id,label
1,233
3,123
5,216
9,233
13,56
17,216
20,210
22,176
25,13
26,216
30,13
33,177
34,233
35,233
36,179
37,66
39,177
40,131
42,236
45,182
46,233
48,131
49,126
50,189
51,115
55,212
56,0
58,153
59,172
60,3
61,212
63,212
64,115
67,139
70,8
75,13
77,139
79,86
80,153
82,134
85,212
86,87
91,71
92,28
93,177
95,173
96,198
99,61
100,126
102,211
106,91
109,216
112,196
116,114
117,13
118,13
121,100
133,13
137,66
142,56
143,42
144,94
145,100
146,233
147,116
148,126
149,198
150,233
154,158
156,100
163,216
164,183
169,14
189,136
191,132
192,216
193,233
194,187
197,153
198,145
199,100
200,233
202,216
203,123
204,131
205,115
206,173
207,233
208,116
209,123
210,29
212,173
214,179
216,242
219,153
223,126
224,173
225,3
227,126
230,123
231,134
232,54
234,14
235,145
242,54
243,40
244,225
245,13
246,225
247,216
257,212
258,86
259,196
260,14
267,179
269,138
270,200
271,13
274,86
275,139
276,233
277,13
278,198
279,107
287,145
292,145
296,216
298,126
299,233
300,8
303,233
304,4
307,14
308,233
312,177
313,149
314,131
316,212
317,34
318,173
320,126
322,13
326,3
327,233
332,14
337,216
338,187
340,206
341,190
342,196
343,49
350,173
356,14
357,173
358,126
361,123
363,65
364,115
369,197
370,212
371,216
373,177
380,126
381,129
384,91
390,187
392,3
394,160
396,206
402,13
404,0
409,13
410,225
414,173
415,233
419,216
422,113
423,233
425,216
426,13
430,76
431,145
432,212
434,173
443,243
445,14
446,134
456,211
457,118
459,13
462,145
470,126
473,19
475,216
476,23
479,19
483,177
486,46
489,139
492,233
493,115
497,66
501,212
510,172
517,197
521,0
525,153
533,71
535,13
537,123
541,126
543,42
544,42
549,126
550,66
555,42
556,8
560,242
563,14
567,100
568,24
571,123
577,201
580,149
581,123
582,117
586,66
588,212
592,103
598,77
607,42
608,248
609,190
611,187
613,212
615,34
618,100
619,153
620,100
625,100
631,86
632,30
635,100
636,233
637,173
645,156
648,91
653,91
655,97
658,13
676,100
680,19
681,233
685,13
688,102
691,0
698,3
699,225
700,114
705,149
708,177
712,100
714,137
716,190
718,179
720,61
722,190
726,8
727,232
729,233
730,68
736,0
737,4
739,145
740,84
742,19
743,233
745,61
748,71
751,153
752,14
755,212
757,33
758,225
767,233
769,91
770,197
775,47
779,18
781,115
791,13
794,173
796,131
797,225
802,136
804,33
811,210
813,172
814,187
822,105
823,113
826,87
834,145
838,179
842,86
852,65
853,160
854,216
861,225
863,212
869,80
872,212
878,13
884,113
886,233
889,100
890,225
891,187
893,205
900,70
906,14
909,139
917,145
927,18
931,145
932,182
933,70
936,71
939,145
940,181
943,145
945,126
946,42
953,232
954,212
960,115
964,129
966,126
968,216
971,139
974,174
976,236
985,61
986,83
987,236
988,225
993,63
996,153
999,8
1000,225
1002,136
1007,196
1011,235
1012,145
1013,70
1016,71
1026,228
1030,114
1034,212
1035,6
1037,232
1039,216
1042,67
1043,86
1048,14
1053,187
1057,61
1060,223
1061,148
1065,233
1070,115
1075,233
1078,187
1084,129
1087,100
1090,0
1097,3
1100,13
1107,77
1108,33
1109,113
1114,116
1117,123
1120,14
1122,126
1123,245
1124,123
1131,233
1133,70
1142,131
1143,71
1146,196
1149,120
1151,123
1153,208
1154,123
1169,187
1174,33
1175,86
1178,173
1179,100
1185,126
1190,223
1194,216
1196,71
1199,100
1200,24
1204,216
1215,173
1220,216
1223,13
1228,139
1231,0
1233,40
1237,174
1242,232
1244,18
1247,4
1254,187
1256,18
1265,8
1266,13
1278,216
1284,233
1287,233
1288,145
1291,216
1293,243
1300,126
1304,237
1310,145
1311,13
1314,179
1316,173
1318,145
1319,204
1321,236
1322,206
1323,129
1324,200
1334,54
1335,153
1336,181
1337,183
1338,86
1341,153
1344,242
1348,145
1349,233
1354,173
1358,40
1360,233
1363,3
1366,206
1367,177
1368,123
1369,181
1375,48
1380,216
1384,172
1388,233
1400,47
1406,209
1407,54
1409,225
1412,13
1414,3
1421,100
1428,56
1429,212
1431,225
1433,84
1436,173
1438,76
1441,83
1447,61
1448,19
1449,46
1450,240
1456,233
1466,246
1467,118
1470,240
1471,4
1480,212
1483,243
1486,33
1490,187
1491,226
1492,46
1500,236
1508,236
1509,179
1512,233
1514,156
1527,18
1529,14
1532,8
1533,233
1534,139
1541,196
1546,196
1551,216
1553,212
1554,77
1556,18
1557,225
1559,71
1569,14
1578,212
1583,139
1586,158
1588,53
1591,190
1595,14
1597,212
1599,212
1600,233
1605,225
1606,242
1610,49
1612,13
1615,172
1625,138
1626,61
1627,126
1630,212
1632,233
1633,172
1638,172
1644,115
1654,210
1659,139
1665,213
1666,145
1667,13
1670,100
1674,211
1681,223
1683,44
1685,115
1693,46
1694,61
1695,14
1697,210
1701,198
1702,13
1709,138
1710,115
1712,145
1714,229
1726,13
1727,177
1730,110
1736,14
1737,226
1738,47
1740,13
1747,177
1752,126
1753,173
1755,14
1762,182
1765,11
1768,115
1769,14
1772,145
1785,166
1790,210
1793,145
1796,126
1801,54
1810,83
1813,56
1816,72
1818,84
1826,0
1830,242
1831,91
1834,139
1836,145
1841,212
1853,145
1862,242
1865,54
1869,71
1870,225
1875,233
1879,212
1886,115
1891,129
1892,212
1896,221
1897,147
1898,83
1900,145
1904,3
1907,3
1908,249
1909,126
1912,100
1915,225
1916,161
1921,182
1925,198
1931,13
1934,228
1942,139
1943,233
1944,113
1946,190
1950,0
1951,8
1954,14
1958,225
1959,153
1960,182
1965,115
1967,42
1968,83
1969,145
1970,216
1975,233
1977,46
1980,0
1987,118
1992,174
1996,145
2009,236
2010,158
2011,225
2012,173
2013,138
2017,216
2018,13
2024,225
2029,156
2031,225
2034,216
2038,74
2044,11
2047,216
2063,108
2064,190
2069,233
2072,212
2077,225
2078,233
2084,197
2086,115
2090,179
2094,138
2095,196
2098,232
2102,212
2106,8
2108,153
2109,225
2114,115
2118,153
2122,123
2128,201
2131,196
2132,129
2133,115
2134,13
2138,174
2140,137
2147,160
2148,233
2150,187
2168,19
2169,23
2172,153
2173,173
2177,190
2183,100
2186,153
2187,233
2191,49
2193,212
2194,177
2197,50
2208,198
2213,233
2230,187
2231,48
2233,187
2238,46
2239,103
2242,160
2246,61
2257,216
2258,14
2260,14
2273,244
2274,46
2275,212
2277,233
2281,215
2283,160
2287,66
2289,212
2291,54
2293,223
2298,65
2309,4
2313,233
2314,14
2321,235
2328,18
2338,249
2342,84
2351,19
2354,100
2361,71
2363,238
2368,211
2384,100
2385,216
2386,100
2399,96
2405,174
2422,139
2424,115
2429,139
2434,18
2441,103
2443,46
2450,206
2451,138
2452,153
2455,225
2457,227
2462,126
2469,139
2470,126
2474,172
2477,190
2481,42
2484,116
2486,91
2491,153
2494,172
2495,40
2497,240
2504,173
2506,97
2508,118
2509,129
2515,104
2517,225
2518,190
2525,216
2527,24
2535,123
2536,249
2541,210
2543,187
2547,71
2548,13
2566,42
2567,100
2572,216
2574,196
2577,233
2581,131
2583,226
2590,243
2596,115
2597,88
2598,6
2600,100
2603,158
2608,126
2611,136
2612,4
2627,13
2628,4
2635,233
2638,212
2644,145
2648,39
2653,116
2656,48
2657,44
2660,134
2663,126
2666,226
2670,225
2671,245
2679,13
2680,139
2683,160
2684,206
2687,8
2688,216
2696,238
2697,178
2700,126
2701,13
2723,86
2726,233
2729,126
2733,210
2745,131
2749,245
2750,137
2754,187
2755,91
2757,216
2766,210
2774,223
2783,225
2785,0
2786,233
2789,56
2797,13
2799,117
2812,190
2813,212
2819,4
2820,13
2822,14
2823,225
2827,225
2828,174
2831,173
2833,173
2836,233
2841,54
2844,145
2847,0
2849,123
2859,131
2884,223
2890,145
2892,126
2894,173
2900,61
2902,173
2908,238
2928,14
2929,63
2936,195
2937,225
2938,13
2942,233
2947,233
2948,212
2951,242
2954,233
2955,85
2958,144
2961,145
2962,61
2963,160
2971,65
2972,216
2975,216
2976,172
2979,158
2982,236
2988,154
2990,136
2993,115
2995,126
2998,58
2999,42
3002,99
3009,24
3012,233
3022,212
3023,213
3029,225
3032,206
3041,29
3043,115
3044,225
3045,158
3046,14
3047,177
3050,145
3051,160
3052,145
3055,139
3056,14
3078,66
3085,123
3087,145
3093,145
3095,145
3098,225
3101,183
3105,28
3109,14
3111,233
3114,187
3118,123
3122,225
3126,233
3140,14
3146,83
3150,145
3153,83
3154,145
3171,206
3182,216
3186,204
3189,238
3193,123
3201,173
3204,49
3205,14
3207,94
3208,13
3211,13
3215,238
3218,225
3219,225
3225,71
3226,132
3232,96
3233,100
3238,131
3263,216
3267,225
3268,126
3271,190
3279,146
3280,13
3283,104
3284,153
3287,189
3291,71
3305,225
3306,225
3312,72
3314,153
3315,33
3333,56
3340,145
3343,212
3347,187
3354,198
3355,158
3362,0
3366,75
3381,86
3389,126
3390,14
3399,19
3404,172
3406,126
3407,131
3408,201
3410,190
3415,212
3420,153
3421,94
3429,71
3432,145
3442,54
3445,62
3446,28
3452,173
3458,226
3461,153
3464,71
3474,6
3484,86
3485,245
3488,190
3493,137
3494,32
3497,61
3499,190
3501,204
3508,107
3514,129
3525,225
3527,233
3534,187
3535,4
3542,46
3543,216
3546,139
3560,100
3565,145
3566,126
3569,233
3570,39
3571,99
3572,153
3579,196
3584,14
3587,6
3590,114
3608,18
3609,198
3614,197
3615,14
3617,153
3619,126
3631,187
3636,225
3641,233
3655,204
3656,123
3659,121
3661,54
3673,13
3683,233
3694,60
3695,242
3707,50
3712,232
3713,87
3715,238
3719,196
3730,179
3736,33
3737,203
3740,24
3743,84
3747,54
3750,173
3757,19
3759,14
3764,191
3765,131
3767,180
3769,84
3776,71
3778,65
3779,131
3784,176
3785,28
3788,129
3797,216
3800,242
3811,173
3819,216
3820,34
3821,216
3830,212
3831,242
3832,196
3834,14
3836,18
3839,41
3848,196
3850,61
3853,67
3863,173
3880,54
3886,226
3891,71
3892,233
3893,233
3897,232
3898,225
3909,0
3920,13
3927,49
3937,146
3947,153
3950,187
3955,226
3957,126
3965,231
3966,225
3973,4
3974,212
3978,76
3980,210
3981,197
3995,71
4001,99
4003,41
4007,92
4012,66
4013,213
4023,56
4035,173
4038,145
4040,183
4048,139
4050,139
4052,4
4055,14
4059,212
4061,190
4066,187
4068,72
4083,233
4086,196
4092,216
4100,225
4105,100
4110,225
4111,176
4115,115
4116,177
4120,145
4126,233
4131,212
4134,13
4137,8
4140,216
4144,91
4154,173
4160,48
4161,13
4174,210
4177,196
4186,225
4192,153
4193,13
4194,56
4196,74
4197,84
4203,158
4206,225
4213,225
4214,13
4215,115
4223,145
4227,70
4228,67
4230,173
4231,233
4234,227
4239,3
4243,172
4244,126
4249,4
4257,174
4264,216
4265,225
4271,173
4272,190
4273,133
4276,225
4279,99
4280,62
4281,196
4285,76
4287,145
4299,173
4300,100
4304,40
4308,225
4311,41
4316,225
4321,66
4322,223
4332,145
4333,210
4337,126
4343,13
4353,33
4362,6
4368,14
4376,199
4381,100
4386,71
4396,242
4397,13
4405,83
4407,233
4410,212
4411,4
4418,212
4421,76
4425,126
4433,225
4435,49
4445,212
4454,126
4462,63
4465,12
4468,118
4481,48
4489,173
4490,34
4491,216
4494,190
4496,118
4500,14
4504,115
4509,173
4510,4
4525,0
4540,14
4541,123
4555,86
4556,186
4558,160
4570,126
4572,34
4574,49
4588,153
4590,240
4591,123
4592,71
4593,187
4596,212
4597,134
4599,225
4600,145
4612,163
4627,146
4632,114
4636,66
4642,233
4653,244
4659,226
4660,72
4662,196
4665,198
4668,128
4678,184
4682,225
4685,179
4687,71
4690,225
4694,71
4714,242
4725,36
4727,183
4728,4
4734,48
4737,225
4747,233
4761,129
4767,190
4777,13
4779,233
4782,216
4787,33
4792,4
4794,233
4798,13
4807,175
4828,212
4830,54
4833,23
4834,196
4838,46
4843,233
4850,225
4853,66
4857,145
4869,100
4872,233
4879,12
4883,190
4903,174
4906,67
4910,24
4913,76
4915,238
4916,187
4918,177
4919,100
4926,225
4927,63
4928,196
4931,145
4937,190
4949,212
4950,0
4960,158
4965,126
4966,99
4977,187
4979,71
4993,238
4997,11
4998,150
4999,136
5004,223
5007,115
5008,139
5017,123
5018,216
5019,134
5022,237
5023,139
5026,100
5030,213
5035,102
5038,208
5049,146
5050,62
5055,173
5056,126
5058,208
5066,18
5074,4
5077,145
5083,172
5086,70
5106,62
5109,129
